id_empresa,nombre_empresa,id_empresa_bandera,direccion,localidad,provincia,region,latitud,longitud
8314,PROYECTOS SUSTENTABLES S.A.,2,LISANDRO DE LA TORRE 2179,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.66008,-58.50346
8315,FROS S.A.,1,Oliden 1952,LOMAS DE ZAMORA,BUENOS AIRES,Pampeana,-34.775885,-58.424345
8316,CARGAS SRL,1,RUTA NACIONAL AUTOVIA NO. 14 Y RUTA PCIAL NO. 24,CONCEPCION DEL URUGUAY,ENTRE RIOS,Centro,-32.475425,-58.303244
8318,BEIRUT S.A.,4,SAN MARTIN 125,EL DORADO,MISIONES,Noreste,-26.403762,-54.631984
8321,CIELOS DEL BUEN AIRE SRL,3,RAMON HERNANDEZ 519,JUNIN,BUENOS AIRES,Pampeana,-34.59296,-60.96002
8322,COMBUSTIBLES Y SERVICIOS EL CRUCE S. A.,2,ruta nacional 7 km 694.5,VILLA MERCEDES,SAN LUIS,Cuyo,-33.64849,-65.45024
8323,BERRIA ENERGIA SA,26,RUTA 33 KM 233,CASBAS,BUENOS AIRES,Pampeana,-36.76861,-62.51639
8324,DON NONO COMBUSTIBLES,1,"Ruta Nacional Nº14, Kilómetro 584",LA CRUZ,CORRIENTES,Noreste,-29.18018,-56.67964
8326,COMODITY S.A.,28,Av. Rafael Nuñez 3693,CORDOBA,CORDOBA,Centro,-31.37643,-64.22654
8327,PETROLEO Y SERVICIOS SA,20,AV. DEL LIBERTADOR 302,VICENTE LOPEZ,BUENOS AIRES,Pampeana,-34.531518,-58.469358
8328,MARANELLO OIL SA,4,INT. JORGE R. VARELA 455 Y JEAN JUARES,CAMPANA,BUENOS AIRES,Pampeana,-34.16523,-58.95959
8329,RUMAOS SA,2,LAMADRID 1526 ESQUINA PASO DE LOS PATOS,DORREGO,MENDOZA,Cuyo,-32.904486,-68.820967
8331,NICNAFED SRL,2,calle 847 nº 2699,SAN FCO.SOLANO,BUENOS AIRES,Pampeana,-34.78436,-58.31392
8334,PETRO SANTAFESINA S.A.,4,AMADO AUFRANC 1502,ESPERANZA,SANTA FE,Centro,-31.442723,-60.928632
8337,RIVAS NUÑEZ SRL,2,AV MITRE 902,9 DE JULIO,BUENOS AIRES,Pampeana,-35.44325,-60.88106
8339,SUPER SERVICIOS SA,2,AV AVELLANEDA 1628,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.62074,-58.45426
8340,CEYMA COMBUSTIBLES SRL,2,Ruta Nac.35 Km 406,EDUARDO CASTEX,LA PAMPA,Pampeana,-35.90736,-64.27436
8341,SERVIAGRO RUTA 3 S.R.L.,1,Ruta nacional n° 8 y Acceso a Alejo Ledesma,ALEJO LEDESMA,CORDOBA,Centro,-33.577807,-62.617957
