Fecha,id_producto,Precio Ars,id_empresa,Cotizacion_DolarBlue,Precio_dolarBlue,Cotizacion_DolarOficial,Precio_dolarOficial
2016-07-06,6,10.79,5434,14.91,0.7236753930532596,15.05,0.7169435125085633
2016-07-06,6,10.0,1044,14.91,0.6706908183996846,15.05,0.6644518188216527
2016-07-06,6,9.95,5675,14.91,0.6673373643076861,15.05,0.6611295597275444
2016-07-06,6,10.47,3412,14.91,0.7022132868644698,15.05,0.6956810543062705
2016-07-06,6,10.59,2563,14.91,0.710261576685266,15.05,0.7036544761321302
2016-07-06,6,9.95,504,14.91,0.6673373643076861,15.05,0.6611295597275444
2016-07-07,6,10.99,6949,14.9,0.7375839115010694,14.96,0.7346256665759529
2016-07-07,6,10.99,6790,14.9,0.7375839115010694,14.96,0.7346256665759529
2016-07-07,6,10.99,2446,14.9,0.7375839115010694,14.96,0.7346256665759529
2016-07-10,6,10.99,8661,14.9,0.7375839115010694,14.96,0.7346256665759529
2016-07-12,6,10.49,7400,15.09,0.6951623521488829,14.9,0.7040268636620762
2016-07-12,6,10.99,2653,15.09,0.7282968779901071,14.9,0.7375839115010694
2016-07-15,6,8.3,2158,15.26,0.5439056274908179,15.13,0.5485789780052953
2016-07-15,6,9.69,7535,15.26,0.6349934373959066,15.13,0.6404494333579893
2016-07-15,6,9.59,2122,15.26,0.6284403575466198,15.13,0.6338400480808171
2016-07-18,6,10.5,5890,15.39,0.6822611933569985,15.36,0.6835937652795113
2016-07-18,6,10.95,6481,15.39,0.7115009587865841,15.36,0.7128906409343475
2016-07-18,6,10.5,2652,15.39,0.6822611933569985,15.36,0.6835937652795113
2016-07-20,6,10.99,1788,15.37,0.7150292831378404,15.27,0.7197118317316352
2016-07-21,6,10.97,1317,15.33,0.7155903492886635,15.29,0.7174623955113812
2016-07-23,6,10.85,8648,15.43,0.7031756179784725,15.19,0.7142857340175262
2016-07-28,6,9.59,6504,15.52,0.6179123529086451,15.28,0.6276178120151856
2016-07-29,6,10.69,4116,15.47,0.6910148555577974,15.28,0.699607342069065
2016-07-29,6,10.69,8402,15.47,0.6910148555577974,15.28,0.699607342069065
2016-07-29,6,10.6,8925,15.47,0.6851971439581527,15.28,0.6937172896101114
2016-07-30,6,10.69,6865,15.47,0.6910148555577974,15.28,0.699607342069065
2016-08-01,6,10.68,6611,15.49,0.6894770921761642,15.26,0.6998689279038476
2016-08-01,6,10.6,6426,15.49,0.6843124697628595,15.26,0.6946264640244181
2016-08-05,6,10.69,929,15.24,0.7014435800884313,15.12,0.7070105873618346
2016-08-08,6,8.65,6466,15.33,0.564253101307834,15.04,0.5751329801821531
